Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805,7165.00.00,−9243.40.00,90.00.00,bottom
C2,0.1uF,C_0805,4112.20.00,−2295.00.00,00.00,bottom
C3,0.1uF,C_0805,981.00.00,−3547.40.00,00.00,bottom
C4,10uF,C_0805,4031.40.00,−2026.00.00,00.00,bottom
C5,1uF,C_0805,7326.40.00,−12247.40.00,180.00.00,bottom
C6,22pF,C_0805,13255.00.00,−10738.40.00,00.00,bottom
C7,22pF,C_0805,13255.00.00,−8144.40.00,00.00,bottom
C8,100nF,C_0805,7976.40.00,−2433.40.00,180.00.00,bottom
D_1,D,D_1206,8351.20.00,−6512.00.00,90.00.00,bottom
D_2,D,D_1206,1197.40.00,−6678.40.00,90.00.00,bottom
D_3,D,D_1206,2550.00.00,−9012.00.00,90.00.00,bottom
D_4,D,D_1206,2735.40.00,−7012.00.00,90.00.00,bottom
D_5,D,D_1206,3754.40.00,−7012.00.00,90.00.00,bottom
D_6,D,D_1206,3940.20.00,−8178.40.00,90.00.00,bottom
D_7,D,D_1206,6959.20.00,−8178.40.00,90.00.00,bottom
D_8,D,D_1206,8485.20.00,−7845.20.00,90.00.00,bottom
D_9,D,D_1206,8164.00.00,−7345.20.00,90.00.00,bottom
D_10,D,D_1206,8016.20.00,−7845.20.00,90.00.00,bottom
D_11,D,D_1206,9202.00.00,−7678.40.00,90.00.00,bottom
D_12,D,D_1206,9721.00.00,−7845.20.00,90.00.00,bottom
D_13,D,D_1206,10573.20.00,−7845.20.00,90.00.00,bottom
D_14,D,D_1206,3602.20.00,−7678.40.00,90.00.00,bottom
D_16,D,D_1206,14635.00.00,−8864.20.00,90.00.00,bottom
D_17,D,D_1206,15154.00.00,−8197.40.00,90.00.00,bottom
D_18,D,D_1206,15506.20.00,−8864.20.00,90.00.00,bottom
D_19,D,D_1206,16525.20.00,−7531.00.00,90.00.00,bottom
D_20,D,D_1206,545.20.00,−8364.20.00,90.00.00,bottom
D_21,D,D_1206,2397.40.00,−7864.20.00,90.00.00,bottom
D_22,D,D_1206,1916.40.00,−8364.20.00,90.00.00,bottom
D_23,D,D_1206,15773.00.00,−8031.00.00,90.00.00,bottom
D_24,D,D_1206,13016.00.00,−9197.40.00,90.00.00,bottom
D_25,D,D_1206,9873.20.00,−8864.20.00,90.00.00,bottom
D_26,D,D_1206,10892.20.00,−8697.40.00,90.00.00,bottom
D_27,D,D_1206,11744.40.00,−8697.40.00,90.00.00,bottom
D_28,D,D_1206,13430.20.00,−8864.20.00,90.00.00,bottom
D_29,D,D_1206,13616.00.00,−9197.40.00,90.00.00,bottom
D_30,D,D_1206,26.00.00,−9383.20.00,90.00.00,bottom
D_31,D,D_1206,6211.40.00,−8050.00.00,90.00.00,bottom
D_32,D,D_1206,7064.00.00,−9550.00.00,90.00.00,bottom
D_33,D,D_1206,8749.40.00,−9883.20.00,90.00.00,bottom
D_34,D,D_1206,8768.40.00,−9550.00.00,90.00.00,bottom
D_35,D,D_1206,9454.20.00,−9550.00.00,90.00.00,bottom
D_36,D,D_1206,10306.40.00,−9716.40.00,90.00.00,bottom
D_37,D,D_1206,10992.20.00,−8550.00.00,90.00.00,bottom
D_38,D,D_1206,11344.40.00,−7883.20.00,90.00.00,bottom
D_39,D,D_1206,13197.00.00,−9216.40.00,90.00.00,bottom
D_40,D,D_1206,13549.20.00,−9050.00.00,90.00.00,bottom
D_41,D,D_1206,14735.00.00,−9883.20.00,90.00.00,bottom
D_42,D,D_1206,14099.20.00,−9216.40.00,90.00.00,bottom
D_43,D,D_1206,16592.00.00,−10402.20.00,90.00.00,bottom
D_44,D,D_1206,778.40.00,−10402.20.00,90.00.00,bottom
D_45,D,D_1206,1631.00.00,−10569.00.00,90.00.00,bottom
D_46,D,D_1206,2483.20.00,−10402.20.00,90.00.00,bottom
D_47,D,D_1206,3335.40.00,−10735.40.00,90.00.00,bottom
D_48,D,D_1206,4188.00.00,−10402.20.00,90.00.00,bottom
D_49,D,D_1206,5373.40.00,−10402.20.00,90.00.00,bottom
D_50,D,D_1206,8226.00.00,−10402.20.00,90.00.00,bottom
D_51,D,D_1206,1262.00.00,−10402.20.00,90.00.00,bottom
D_53,D,D_1206,14689.40.00,−11402.20.00,90.00.00,bottom
D_55,D,D_1206,14887.20.00,−10402.20.00,90.00.00,bottom
D_56,D,D_1206,15739.40.00,−10402.20.00,90.00.00,bottom
D_57,D,D_1206,23.00,−3667.20.00,90.00.00,bottom
D_58,D,D_1206,6676.00.00,−3667.20.00,90.00.00,bottom
D_59,D,D_1206,16008.20.00,−1684.00.00,90.00.00,bottom
D_60,D,D_1206,7145.00.00,−10088.00.00,90.00.00,bottom
D_61,D,D_1206,6440.20.00,−3667.20.00,90.00.00,bottom
D_62,D,D_1206,3339.20.00,−3667.20.00,90.00.00,bottom
D_63,D,D_1206,11612.20.00,−3667.20.00,90.00.00,bottom
F1,500mA,Fuse_1206,16599.00.00,−9742.20.00,00.00,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,14642.00.00,13167.40.00,00.00,bottom
R1,5.1k,R_0805,11805.40.00,−10072.40.00,90.00.00,bottom
R2,5.1k,R_0805,979.20.00,−10072.40.00,270.00.00,bottom
R3,22,R_0805,11676.20.00,−920.00.00,90.00.00,bottom
R4,22,R_0805,16445.00.00,−920.00.00,90.00.00,bottom
R5,10k,R_0805,10680.00.00,−9921.20.00,180.00.00,bottom
R6,10k,R_0805,6999.00.00,−12591.40.00,270.00.00,bottom
U1,USBLC6-2SC6,SOT-23-6,14642.00.00,−10072.40.00,270.00.00,bottom
U2,ATMEGA32U2,TQFP-32_7x7mm_P0.8mm,7671.00.00,−2375.40.00,225.00.00,bottom